char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
鋞,鋞,U+92DE,xíng xìng jīng,xing jing,xíng,"64206.060:xíng,xìng,jīng",,"kMandarin,kHanyuPinyin"
锓,鋟,U+92DF,qǐn qiān qīn jìn,qin qian jin,qǐn,"64213.020:qǐn,qiān,qiān,qīn,jìn",carve,"kMandarin,kHanyuPinyin"
锄,鋤,U+92E4,chú jǔ,chu ju,chú,"64207.120:chú,jǔ",hoe; eradicate,"kMandarin,kHanyuPinyin"
锇,鋨,U+92E8,é tiě,e tie,é,"64208.110:tiě,é","an ancient name for iron; osmium (element 76, Os)","kMandarin,kHanyuPinyin"
锐,鋭,U+92ED,ruì duì yuè,rui dui yue,ruì,"64211.120:ruì,duì,yuè",sharp,"kMandarin,kHanyuPinyin"
鋷,鋷,U+92F7,zuì niè,zui nie,zuì,"64214.150:zuì,niè",,"kMandarin,kHanyuPinyin"
鋺,鋺,U+92FA,yuǎn yuān wǎn wān,yuan wan,yuǎn,"64225.040:yuǎn,yuān,wǎn,wān",a metal bowl,"kMandarin,kHanyuPinyin"
錀,錀,U+9300,lún fēn,lun fen,lún,"64222.110:lún,fēn",,"kMandarin,kHanyuPinyin"
锞,錁,U+9301,guǒ kuǎ kè,guo kua ke,guǒ,"64218.110:guǒ,kuǎ,kè",ingot; acrobatic move,"kMandarin,kHanyuPinyin"
锫,錇,U+9307,póu fú péi,pou fu pei,póu,"64223.100:póu,fú,péi","berkelium (element 97, Bk)","kMandarin,kHanyuPinyin"
錊,錊,U+930A,zuì zū,zui zu,zuì,"64223.090:zuì,zū",,"kMandarin,kHanyuPinyin"
錋,錋,U+930B,péng bèng,peng beng,péng,"64222.150:péng,bèng",,"kMandarin,kHanyuPinyin"
錍,錍,U+930D,pī bēi bī pí,pi bei bi,pī,"64222.040:bēi,pī,bī,pí",,"kMandarin,kHanyuPinyin"
錎,錎,U+930E,xiàn gàn qiàn,xian gan qian,xiàn,"64223.040:xiàn,gàn,qiàn",,"kMandarin,kHanyuPinyin"
錑,錑,U+9311,lèi lì,lei li,lèi,"64225.060:lèi,lì",,"kMandarin,kHanyuPinyin"
锕,錒,U+9312,ā kē,a ke,ā,"64213.070:kē,ā","actinium (element 89, Ac)","kMandarin,kHanyuPinyin"
锟,錕,U+9315,kūn gǔn,kun gun,kūn,"64218.130:kūn,gǔn",ancient treasured sword,"kMandarin,kHanyuPinyin"
錗,錗,U+9317,nèi zhuì wèi,nei zhui wei,nèi,"64221.080:nèi,zhuì,wèi",,"kMandarin,kHanyuPinyin"
錞,錞,U+931E,chún duì duò,chun dui duo,chún,"64223.070:duì,chún,duò",instrument,"kMandarin,kHanyuPinyin"
锬,錟,U+931F,tán xiān yǎn,tan xian yan,tán,"64224.070:tán,xiān,yǎn",long spear,"kMandarin,kHanyuPinyin"
锜,錡,U+9321,qí yǐ,qi yi,qí,"64217.020:qí,yǐ",a kind of pen; a kind of chisel,"kMandarin,kHanyuPinyin"
钱,錢,U+9322,qián jiǎn,qian jian,qián,"64217.100:jiǎn,qián","money, currency, coins","kMandarin,kHanyuPinyin"
錣,錣,U+9323,zhuì chuò,zhui chuo,zhuì,"64227.090:zhuì,chuò",armor neckplates,"kMandarin,kHanyuPinyin"
錪,錪,U+932A,tiǎn tǔn,tian tun,tiǎn,"64219.050:tiǎn,tǔn",,"kMandarin,kHanyuPinyin"
锡,錫,U+932B,xī tì,xi ti,xī,"64219.030:xī,tì","tin (element 50, Sn); bestow, confer","kMandarin,kHanyuPinyin"
錭,錭,U+932D,táo diāo,tao diao,táo,"64223.010:táo,diāo",,"kMandarin,kHanyuPinyin"
错,錯,U+932F,cuò cù xī,cuo cu xi,cuò,"64214.180:cuò,cù,xī","error, blunder, mistake, wrong","kMandarin,kHanyuPinyin"
錽,錽,U+933D,wàn jiǎn,wan jian,wàn,"64217.070:wàn,jiǎn",,"kMandarin,kHanyuPinyin"
锴,鍇,U+9347,kǎi jiē jiě,kai jie,kǎi,"64229.080:kǎi,jiē,jiě",high quality iron,"kMandarin,kHanyuPinyin"
鍉,鍉,U+9349,dī chí dí shì,di chi shi,dī,"64230.080:dī,chí,dí,shì","spoon, key","kMandarin,kHanyuPinyin"
炼,鍊,U+934A,liàn jiàn,lian jian,liàn,"64228.140:liàn,jiàn","smelt metals, forge; refine","kMandarin,kHanyuPinyin"
鍖,鍖,U+9356,chěn zhēn,chen zhen,chěn,"64228.020:chěn,zhēn",,"kMandarin,kHanyuPinyin"
鍦,鍦,U+9366,shī shé,shi she,shī,"64235.120:shī,shé",,"kMandarin,kHanyuPinyin"
锘,鍩,U+9369,tiǎn nuò,tian nuo,tiǎn,"64214.160:tiǎn,nuò","nobelium (element 102, No)","kMandarin,kHanyuPinyin"
鍱,鍱,U+9371,yè xié,ye xie,yè,"64228.050:yè,xié",thin plates of metal,"kMandarin,kHanyuPinyin"
锶,鍶,U+9376,sōng sī,song si,sōng,"64231.070:sōng,sī","strontium (element 38, Sr); an iron utensil","kMandarin,kHanyuPinyin"
锗,鍺,U+937A,zhě duǒ dǔ,zhe duo du,zhě,"64214.070:duǒ,dǔ,zhě","germanium (element 32, Ge); metal flashing on the axle of a cart","kMandarin,kHanyuPinyin"
鍼,鍼,U+937C,zhēn qián,zhen qian,zhēn,"64229.020:zhēn,qián","needle, pin, tack; prick; inject","kMandarin,kHanyuPinyin"
鎈,鎈,U+9388,suǒ chā,suo cha,suǒ,"64244.060:suǒ,chā",,"kMandarin,kHanyuPinyin"
鎉,鎉,U+9389,dá tà,da ta,dá,"64240.120:dá,tà","thallium (element 81, Tl)","kMandarin,kHanyuPinyin"
镑,鎊,U+938A,bàng pāng,bang pang,bàng,"64244.040:pāng,bàng",pound sterling; to scrape,"kMandarin,kHanyuPinyin"
鎍,鎍,U+938D,suǒ sè,suo se,suǒ,"64239.030:suǒ,sè",chain; wire,"kMandarin,kHanyuPinyin"
鎐,鎐,U+9390,yáo zú,yao zu,yáo,"64243.050:yáo,zú",family name; wine cup,"kMandarin,kHanyuPinyin"
鎑,鎑,U+9391,yè tà gé,ye ta ge,yè,"64237.100:yè,tà,gé",,"kMandarin,kHanyuPinyin"
鎒,鎒,U+9392,nòu hāo,nou hao,nòu,"64239.100:nòu,hāo",to hoe; to weed,"kMandarin,kHanyuPinyin"
鎗,鎗,U+9397,qiāng chēng qiàng,qiang cheng,qiāng,"64242.090:chēng,qiāng,qiāng,qiàng","rifle, small arms, hand gun","kMandarin,kHanyuPinyin"
镉,鎘,U+9398,lì gé,li ge,lì,"64239.080:lì,gé","cadmium (element 48, Cd)","kMandarin,kHanyuPinyin"
锤,鎚,U+939A,chuí duī zhuì,chui dui zhui,chuí,"64234.010:chuí,duī,zhuì","hammer, mallet; club","kMandarin,kHanyuPinyin"
鎝,鎝,U+939D,dā sà,da sa,dā,"64228.070:sà,dā","(TC) technetium (element 43, Tc); engrave; tilling implement","kMandarin,kHanyuPinyin"
鎞,鎞,U+939E,bī pī,bi pi,bī,"64241.230:bī,pī","plowshare; barb, lancet","kMandarin,kHanyuPinyin"
蓥,鎣,U+93A3,yíng yīng jiǒng,ying jiong,yíng,"64244.110:yīng,yíng,jiǒng",polish,"kMandarin,kHanyuPinyin"
铩,鎩,U+93A9,shā shì sè,sha shi se,shā,"64242.060:shā,shì,sè",to spear,"kMandarin,kHanyuPinyin"
镐,鎬,U+93AC,hào gǎo,hao gao,hào,"64243.110:hào,gǎo",stove; bright,"kMandarin,kHanyuPinyin"
镇,鎮,U+93AE,zhèn zhēn tián,zhen tian,zhèn,"64238.010:zhèn,zhēn,tián","town, market place; suppress","kMandarin,kHanyuPinyin"
鎯,鎯,U+93AF,láng luǒ,lang luo,láng,"64225.050:luǒ,láng",large hammer,"kMandarin,kHanyuPinyin"
鏂,鏂,U+93C2,ōu kōu,ou kou,ōu,"64247.050:ōu,kōu",,"kMandarin,kHanyuPinyin"
镞,鏃,U+93C3,zú chuò,zu chuo,zú,"64251.050:zú,chuò","arrowhead, barb; swift, quick","kMandarin,kHanyuPinyin"
鏉,鏉,U+93C9,shòu sōu,shou sou,shòu,"64247.040:shòu,sōu",,"kMandarin,kHanyuPinyin"
镠,鏐,U+93D0,liú liù liáo,liu liao,liú,"64253.040:liú,liù,liáo",pure gold,"kMandarin,kHanyuPinyin"
鏒,鏒,U+93D2,sǎn qiāo càn,san qiao can,sǎn,"64253.060:sǎn,qiāo,càn",,"kMandarin,kHanyuPinyin"
鏓,鏓,U+93D3,zǒng cōng,zong cong,zǒng,"64249.130:zǒng,cōng",,"kMandarin,kHanyuPinyin"
鏕,鏕,U+93D5,lù áo,lu ao,lù,"64250.080:lù,áo",,"kMandarin,kHanyuPinyin"
鏖,鏖,U+93D6,áo biāo,ao biao,áo,"64250.090:áo,biāo","to fight to the end, engage in a fierce battle","kMandarin,kHanyuPinyin"
镂,鏤,U+93E4,lòu lǘ,lou lu,lòu,"64248.120:lòu,lǘ","carve, inlay, engrave, tattoo","kMandarin,kHanyuPinyin"
鏩,鏩,U+93E9,jiàn zàn,jian zan,jiàn,"64246.190:jiàn,zàn",,"kMandarin,kHanyuPinyin"
鏸,鏸,U+93F8,huì suì ruì,hui sui rui,huì,"64254.140:huì,suì,ruì",,"kMandarin,kHanyuPinyin"
鏾,鏾,U+93FE,sǎn xiàn sà,san xian sa,sǎn,"64254.100:sǎn,xiàn,sà",the trigger of a crossbow; crossbow,"kMandarin,kHanyuPinyin"
鐍,鐍,U+940D,jué yù,jue yu,jué,"64260.070:jué,yù",hasp of a lock,"kMandarin,kHanyuPinyin"
镦,鐓,U+9413,duì duī dūn,dui dun,duì,"64258.020:duì,duī,dūn",ferrule; castrate,"kMandarin,kHanyuPinyin"
鐖,鐖,U+9416,jī qí,ji qi,jī,"64261.020:jī,qí","hook, barb, catch, spring","kMandarin,kHanyuPinyin"
鐜,鐜,U+941C,duī dūn,dui dun,duī,"64258.040:duī,dūn",,"kMandarin,kHanyuPinyin"
鐟,鐟,U+941F,zān tì,zan ti,zān,"64253.100:zān,tì",,"kMandarin,kHanyuPinyin"
鐰,鐰,U+9430,qiāo sào cáo,qiao sao cao,qiāo,"64263.080:qiāo,sào,cáo",,"kMandarin,kHanyuPinyin"
鐱,鐱,U+9431,jiàn qiān,jian qian,jiàn,"64265.030:jiàn,qiān",,"kMandarin,kHanyuPinyin"
镯,鐲,U+9432,zhuó shǔ,zhuo shu,zhuó,"64264.040:zhuó,shǔ","bracelet, armband; small bell","kMandarin,kHanyuPinyin"
鐴,鐴,U+9434,bì bèi,bi bei,bì,"64266.020:bì,bèi,bì",,"kMandarin,kHanyuPinyin"
铁,鐵,U+9435,tiě dié,tie die,tiě,"64261.050:tiě,dié","iron (element 26, Fe); strong, solid, firm","kMandarin,kHanyuPinyin"
镮,鐶,U+9436,huán xuàn,huan xuan,huán,"64264.020:huán,xuàn",metal ring; measure of currency,"kMandarin,kHanyuPinyin"
铛,鐺,U+943A,dāng chēng tāng,dang cheng tang,dāng,"64263.030:chēng,dāng,tāng",frying pan; warming vessel,"kMandarin,kHanyuPinyin"
鐻,鐻,U+943B,jù qú,ju qu,jù,"64262.160:jù,qú",drumstick,"kMandarin,kHanyuPinyin"
鐼,鐼,U+943C,fén bēn,fen ben,fén,"64261.040:fén,bēn",,"kMandarin,kHanyuPinyin"
鑈,鑈,U+9448,niè nǐ,nie ni,niè,"64266.120:niè,nǐ",straight; a seal,"kMandarin,kHanyuPinyin"
鑐,鑐,U+9450,xū rú róu,xu ru rou,xū,"64268.060:xū,rú,róu",bolt of a Chinese lock,"kMandarin,kHanyuPinyin"
鑖,鑖,U+9456,miè mì,mie mi,miè,"64266.110:miè,mì",,"kMandarin,kHanyuPinyin"
鑛,鑛,U+945B,kuàng gǒng,kuang gong,kuàng,"64268.190:kuàng,gǒng","mine; mineral, ore","kMandarin,kHanyuPinyin"
铄,鑠,U+9460,shuò yuè lì,shuo yue li,shuò,"64271.070:shuò,yuè,lì","melt, smelt; shine","kMandarin,kHanyuPinyin"
鑫,鑫,U+946B,xīn xùn,xin xun,xīn,"64272.160:xīn,xùn",used in names,"kMandarin,kHanyuPinyin"
鑯,鑯,U+946F,jiān qiān,jian qian,jiān,"64273.130:jiān,qiān",,"kMandarin,kHanyuPinyin"
钥,鑰,U+9470,yào yuè,yao yue,yào,"64273.120:yào,yuè",key; lock,"kMandarin,kHanyuPinyin"
镶,鑲,U+9472,xiāng ráng,xiang rang,xiāng,"64274.020:ráng,xiāng","insert, inlay, set, mount; fill","kMandarin,kHanyuPinyin"
鑴,鑴,U+9474,xī huī,xi hui,xī,"64275.100:xī,huī","to engrave or carve, as a block for printing","kMandarin,kHanyuPinyin"
凿,鑿,U+947F,záo zuò zú zào,zao zuo zu,záo,"64277.070:záo,zuò,zuò,zú,zào","chisel; bore, pierce","kMandarin,kHanyuPinyin"
钀,钀,U+9480,niè yǐ,nie yi,niè,"64277.060:niè,yǐ",,"kMandarin,kHanyuPinyin"
长,長,U+9577,zhǎng cháng zhàng,zhang chang,zhǎng,"64050.010:cháng,zhǎng,zhàng",long; length; excel in; leader; Kangxi radical 168,"kMandarin,kHanyuPinyin"
閄,閄,U+9584,huò shǎn,huo shan,huò,"74282.100:huò,shǎn",,"kMandarin,kHanyuPinyin"
闬,閈,U+9588,hàn bì,han bi,hàn,"74283.060:hàn,bì",village,"kMandarin,kHanyuPinyin"
开,開,U+958B,kāi qiān,kai qian,kāi,"74286.020:kāi,qiān","open; initiate, begin, start","kMandarin,kHanyuPinyin"
闲,閒,U+9592,xián jiàn jiān jiǎn,xian jian,xián,"74289.060:jiàn,jiān,jiǎn,xián","leisure; idle; peaceful, tranquil, calm","kMandarin,kHanyuPinyin"
闸,閘,U+9598,zhá yā gē,zha ya ge,zhá,"74292.090:yā,gē,zhá","sluice; flood gate, canal lock","kMandarin,kHanyuPinyin"
閜,閜,U+959C,xiǎ ě,xia e,xiǎ,"74291.150:xiǎ,ě",,"kMandarin,kHanyuPinyin"
閞,閞,U+959E,biàn guān,bian guan,biàn,"74294.010:biàn,guān",,"kMandarin,kHanyuPinyin"
阂,閡,U+95A1,ài hé hài gāi kǎi,ai he hai gai kai,ài,"74299.020:ài,hé,hài,gāi,kǎi",blocked or separated; to prevent,"kMandarin,kHanyuPinyin"
閧,閧,U+95A7,hòng xiàng,hong xiang,hòng,"74295.020:hòng,xiàng","boisterous; clamor, noise","kMandarin,kHanyuPinyin"
阆,閬,U+95AC,làng lǎng liǎng,lang liang,làng,"74302.050:làng,lǎng,liǎng","high door; high gate; high, lofty","kMandarin,kHanyuPinyin"
阊,閶,U+95B6,chāng tāng,chang tang,chāng,"74304.050:chāng,tāng",gate of heaven; main gate of palace,"kMandarin,kHanyuPinyin"
閷,閷,U+95B7,shài shā,shai sha,shài,"74305.030:shài,shā",,"kMandarin,kHanyuPinyin"
阏,閼,U+95BC,è yù yān,e yu yan,è,"74306.030:è,yù,yān","block, obstruct, stop up, conceal","kMandarin,kHanyuPinyin"
闂,闂,U+95C2,hòng xiàng juǎn,hong xiang juan,hòng,"74305.020:hòng,xiàng,juǎn",,"kMandarin,kHanyuPinyin"
板,闆,U+95C6,bǎn pǎn,ban pan,bǎn,"74308.120:pǎn,bǎn","boss, the owner, person in charge","kMandarin,kHanyuPinyin"
闇,闇,U+95C7,àn ǎn ān yīn yǐn,an yin,àn,"74309.070:àn,ǎn,ān,yīn,yǐn","close, shut; dark, dismal","kMandarin,kHanyuPinyin"
阕,闋,U+95CB,què jué kuí,que jue kui,què,"74311.020:què,jué,kuí","close, shut; watch tower","kMandarin,kHanyuPinyin"
阇,闍,U+95CD,dū shé,du she,dū,"74302.110:dū,shé",tower over city gate,"kMandarin,kHanyuPinyin"
阙,闕,U+95D5,què quē jué,que jue,què,"74314.030:què,quē,jué",watch tower; palace,"kMandarin,kHanyuPinyin"
闯,闖,U+95D6,chuǎng chèn,chuang chen,chuǎng,"74311.060:chèn,chuǎng","rush in, burst in, charge in","kMandarin,kHanyuPinyin"
闛,闛,U+95DB,táng tāng chāng,tang chang,táng,"74315.100:táng,tāng,chāng",,"kMandarin,kHanyuPinyin"
关,關,U+95DC,guān wān wǎn,guan wan,guān,"74316.100:guān,wān,wǎn",frontier pass; close; relation,"kMandarin,kHanyuPinyin"
阚,闞,U+95DE,kàn hǎn xiàn,kan han xian,kàn,"74316.060:kàn,hǎn,xiàn","glance, peep; roar, growl","kMandarin,kHanyuPinyin"
闟,闟,U+95DF,xì sè tà,xi se ta,xì,"74319.030:xì,sè,tà",peacefully; quietly,"kMandarin,kHanyuPinyin"
闣,闣,U+95E3,dàng tāng,dang tang,dàng,"74319.160:dàng,tāng",,"kMandarin,kHanyuPinyin"
阢,阢,U+9622,wù wéi,wu wei,wù,"64115.080:wù,wéi","the stump of a tree, hence, sterility; a square stool","kMandarin,kHanyuPinyin"
阣,阣,U+9623,gài yì,gai yi,gài,"64115.100:gài,yì",,"kMandarin,kHanyuPinyin"
阤,阤,U+9624,zhì yí tuó,zhi yi tuo,zhì,"64116.020:zhì,yí,tuó",hill,"kMandarin,kHanyuPinyin"
阨,阨,U+9628,è ài,e ai,è,"64116.080:è,ài",in distress; adverse; strategic; (Cant.) to swindle,"kMandarin,kHanyuPinyin"
阬,阬,U+962C,kēng kàng gāng,keng kang gang,kēng,"64117.170:kēng,kàng,gāng","pit, hole, shaft","kMandarin,kHanyuPinyin"
阭,阭,U+962D,yǔn yǎn,yun yan,yǔn,"64119.020:yǔn,yǎn",,"kMandarin,kHanyuPinyin"
阮,阮,U+962E,ruǎn yuán,ruan yuan,ruǎn,"64116.060:yuán,ruǎn",ancient musical instrument: surname,"kMandarin,kHanyuPinyin"
阸,阸,U+9638,è ài,e ai,è,"64124.010:è,ài",distress; difficulty,"kMandarin,kHanyuPinyin"
阻,阻,U+963B,zǔ zhù,zu zhu,zǔ,"64121.010:zǔ,zhù","impede, hinder, obstruct; oppose","kMandarin,kHanyuPinyin"
阿,阿,U+963F,ā ē ě ǎ à,a e,ā,"64119.110:ē,ě,ā,ǎ,à",prefix for people's names; used in transliteration,"kMandarin,kHanyuPinyin"
陀,陀,U+9640,tuó duò,tuo duo,tuó,"64123.090:tuó,duò","steep bank, rough terrain","kMandarin,kHanyuPinyin"
陁,陁,U+9641,tuó zhì yǐ,tuo zhi yi,tuó,"64122.010:zhì,yǐ,tuó","a steep bank, a declivity","kMandarin,kHanyuPinyin"
陂,陂,U+9642,pí bēi bì pō,pi bei bi po,pí,"64124.050:bēi,bì,pō,pí","dam, embankment; reservoir","kMandarin,kHanyuPinyin"
附,附,U+9644,fù bù fū,fu bu,fù,"64122.020:bù,fù,fū","adhere to, append; rely on near to","kMandarin,kHanyuPinyin"
降,降,U+964D,jiàng xiáng xiàng,jiang xiang,jiàng,"64126.180:jiàng,xiáng,xiàng","descend, fall, drop; lower, down","kMandarin,kHanyuPinyin"
陏,陏,U+964F,duò suí,duo sui,duò,"64125.040:duò,suí",,"kMandarin,kHanyuPinyin"
限,限,U+9650,xiàn wěn,xian wen,xiàn,"64128.060:xiàn,wěn","boundary, limit, line","kMandarin,kHanyuPinyin"
陉,陘,U+9658,xíng jìng,xing jing,xíng,"64130.060:xíng,jìng","defile, mountain pass, gorge","kMandarin,kHanyuPinyin"
陚,陚,U+965A,fù wǔ,fu wu,fù,"64134.030:fù,wǔ",,"kMandarin,kHanyuPinyin"
陟,陟,U+965F,zhì dé,zhi de,zhì,"64131.010:zhì,dé","climb, scale, ascend; proceed","kMandarin,kHanyuPinyin"
陠,陠,U+9660,pū bū bù,pu bu,pū,"64129.090:pū,bū,bù",,"kMandarin,kHanyuPinyin"
除,除,U+9664,chú zhù shū,chu zhu shu,chú,"64132.050:chú,zhù,shū","eliminate, remove, except","kMandarin,kHanyuPinyin"
陫,陫,U+966B,fèi péi,fei pei,fèi,"64137.070:fèi,péi",,"kMandarin,kHanyuPinyin"
陬,陬,U+966C,zōu zhé,zou zhe,zōu,"64135.010:zōu,zhé","corner, cranny, nook, niche","kMandarin,kHanyuPinyin"
阴,陰,U+9670,yīn yìn ān,yin an,yīn,"64138.050:yīn,yìn,ān","the passive, female principle in Chinese philosophy (yin); dark; secret","kMandarin,kHanyuPinyin"
陈,陳,U+9673,chén zhèn,chen zhen,chén,"64136.010:chén,zhèn","exhibit, display; plead; surname","kMandarin,kHanyuPinyin"
陴,陴,U+9674,pí bì,pi bi,pí,"64137.180:pí,bì",a parapet on a city wall,"kMandarin,kHanyuPinyin"
陶,陶,U+9676,táo yáo dào,tao yao dao,táo,"64139.050:táo,yáo,dào","pottery, ceramics","kMandarin,kHanyuPinyin"
陆,陸,U+9678,lù liù,lu liu,lù,"64134.050:lù,liù","land, continental; army","kMandarin,kHanyuPinyin"
陼,陼,U+967C,zhǔ dǔ,zhu du,zhǔ,"64134.040:zhǔ,dǔ",islet,"kMandarin,kHanyuPinyin"
陾,陾,U+967E,réng ér,reng er,réng,"64143.030:réng,ér",in file,"kMandarin,kHanyuPinyin"
隃,隃,U+9683,shù yú yáo,shu yu yao,shù,"64147.080:shù,yú,yáo",to exceed; a state in Shanxi province,"kMandarin,kHanyuPinyin"
隄,隄,U+9684,dī tí,di ti,dī tí,64144.020:dī,"dike, embankment","kMandarin,kHanyuPinyin"
队,隊,U+968A,duì zhuì suì,dui zhui sui,duì,"64148.090:zhuì,duì,suì","team, group; army unit","kMandarin,kHanyuPinyin"
隋,隋,U+968B,suí duò tuǒ tuō,sui duo tuo,suí,"64142.160:duò,tuǒ,tuō,suí",Sui dynasty; surname,"kMandarin,kHanyuPinyin"
隑,隑,U+9691,gài gāi ái qí,gai ai qi,gài,"64151.040:gāi,ái,qí",,"kMandarin,kHanyuPinyin"
隓,隓,U+9693,huī duò,hui duo,huī,"64150.010:huī,duò",,"kMandarin,kHanyuPinyin"
隔,隔,U+9694,gé rǒng jī,ge rong ji,gé,"64149.120:gé,rǒng,jī","separate, partition","kMandarin,kHanyuPinyin"
陨,隕,U+9695,yǔn yuán,yun yuan,yǔn,"64151.030:yǔn,yuán","fall, slip; let fall; die","kMandarin,kHanyuPinyin"
隗,隗,U+9697,wěi guī,wei gui,wěi,"64147.040:wěi,guī",high; lofty; surname,"kMandarin,kHanyuPinyin"
隘,隘,U+9698,ài è,ai e,ài,"64152.150:ài,è","narrow, confined; a strategic pass","kMandarin,kHanyuPinyin"
隦,隦,U+96A6,jiǎo pí,jiao pi,jiǎo,64161.080:pí,,"kMandarin,kHanyuPinyin"
隧,隧,U+96A7,suì zhuì,sui zhui,suì,"64159.010:suì,zhuì","tunnel, underground passageway, path to a tomb","kMandarin,kHanyuPinyin"
隩,隩,U+96A9,ào yù,ao yu,ào,64160.070:yù,"profound, subtle; warm","kMandarin,kHanyuPinyin"
险,險,U+96AA,xiǎn jiǎn yán,xian jian yan,xiǎn,"64160.080:xiǎn,jiǎn,yán","narrow pass, strategic point, dangerous","kMandarin,kHanyuPinyin"
隰,隰,U+96B0,xí xiè,xi xie,xí,"64162.060:xí,xiè","low, damp land, marsh, swamp","kMandarin,kHanyuPinyin"
隶,隶,U+96B6,lì dài yì dì,li dai yi di,lì,"74323.010:dài,yì,dì,lì",subservient; servant; Kangxi radical 171,"kMandarin,kHanyuPinyin"
隹,隹,U+96B9,zhuī cuī wéi,zhui cui wei,zhuī,"64090.010:zhuī,cuī,wéi",short-tailed bird; Kangxi radical 172,"kMandarin,kHanyuPinyin"
隺,隺,U+96BA,hè hú què,he hu que,hè,"64090.060:hú,què,hè",a bird flying high ambition,"kMandarin,kHanyuPinyin"
只,隻,U+96BB,zhī huò,zhi huo,zhī,"64090.100:huò,zhī","single, one of pair, lone; measure word","kMandarin,kHanyuPinyin"
隽,隽,U+96BD,juàn jùn,juan jun,juàn,"64090.080:juàn,jùn","superior, outstanding, talented","kMandarin,kHanyuPinyin"
雀,雀,U+96C0,què qiāo qiǎo,que qiao,què,"64091.070:què,qiāo,qiǎo",sparrow,"kMandarin,kHanyuPinyin"
雃,雃,U+96C3,qiān jiè,qian jie,qiān,"64092.060:qiān,jiè",,"kMandarin,kHanyuPinyin"
雇,雇,U+96C7,gù hù,gu hu,gù,"64096.020:hù,gù","employ, to hire","kMandarin,kHanyuPinyin"
雉,雉,U+96C9,zhì kǎi yǐ sì,zhi kai yi si,zhì,"64097.010:zhì,kǎi,yǐ,sì",pheasant; crenellated wall,"kMandarin,kHanyuPinyin"
隽,雋,U+96CB,juàn jùn zuì,juan jun zui,juàn,"64095.030:juàn,jùn,zuì","superior, outstanding, talented","kMandarin,kHanyuPinyin"
雚,雚,U+96DA,guàn huán,guan huan,guàn,"64104.020:guàn,huán",a heron; small cup,"kMandarin,kHanyuPinyin"
雏,雛,U+96DB,chú jú jù,chu ju,chú,"64105.060:chú,jú,jù","chick, fledging; infant, toddler","kMandarin,kHanyuPinyin"
离,離,U+96E2,lí lì lǐ chī gǔ,li chi gu,lí,"64106.020:lí,lì,lǐ,chī,gǔ","leave, depart; go away; separate; trigram ☲; hexagram ䷝","kMandarin,kHanyuPinyin"
难,難,U+96E3,nán nàn nuó,nan nuo,nán,"64108.050:nán,nàn,nuó","difficult, arduous, hard; unable","kMandarin,kHanyuPinyin"
雩,雩,U+96E9,yú yù xū,yu xu,yú,"64057.040:yú,yù,xū",offer sacrifice for rain,"kMandarin,kHanyuPinyin"
雭,雭,U+96ED,sè xí,se xi,sè,"64058.020:sè,xí",,"kMandarin,kHanyuPinyin"
雱,雱,U+96F1,pāng páng fāng,pang fang,pāng,"64059.130:pāng,páng,fāng",snowing heavily,"kMandarin,kHanyuPinyin"
零,零,U+96F6,líng lián,ling lian,líng,"64061.010:líng,lián","zero; fragment, fraction","kMandarin,kHanyuPinyin"
雺,雺,U+96FA,wù méng,wu meng,wù,"64061.100:wù,méng",,"kMandarin,kHanyuPinyin"
需,需,U+9700,xū nuò rú ruǎn,xu nuo ru ruan,xū,"64062.020:xū,nuò,rú,ruǎn","need, require, must; hexagram ䷄","kMandarin,kHanyuPinyin"
霅,霅,U+9705,zhà zhá shà sà yì,zha sha sa yi,zhà,"64065.050:zhá,shà,sà,yì",thunder,"kMandarin,kHanyuPinyin"
震,震,U+9707,zhèn shēn,zhen shen,zhèn,"64064.010:zhèn,shēn","shake, quake, tremor; excite; trigram ☳; hexagram ䷲","kMandarin,kHanyuPinyin"
霍,霍,U+970D,huò hè suǒ,huo he suo,huò,"64068.010:huò,hè,suǒ","quickly, suddenly; surname","kMandarin,kHanyuPinyin"
霙,霙,U+9719,yīng yāng,ying yang,yīng,"64066.130:yīng,yāng",sleet,"kMandarin,kHanyuPinyin"
雾,霧,U+9727,wù méng,wu meng,wù,"64074.150:wù,méng","fog, mist, vapor, fine spray","kMandarin,kHanyuPinyin"
露,露,U+9732,lù lòu,lu lou,lù,"64078.060:lù,lòu","dew; bare, open, exposed","kMandarin,kHanyuPinyin"
霸,霸,U+9738,bà pò,ba po,bà,"64077.190:pò,bà",rule by might rather than right,"kMandarin,kHanyuPinyin"
霾,霾,U+973E,mái lí,mai li,mái,"64081.070:mái,lí","misty, foggy; dust storm","kMandarin,kHanyuPinyin"
霿,霿,U+973F,méng mào wù,meng mao wu,méng,"64080.030:méng,mào,wù",,"kMandarin,kHanyuPinyin"
靃,靃,U+9743,huò suǐ suǒ,huo sui suo,huò,"64083.020:huò,suǐ,suǒ",,"kMandarin,kHanyuPinyin"
靇,靇,U+9747,lóng líng,long ling,lóng,"64084.010:lóng,líng 74806.040:líng,lóng",,"kMandarin,kHanyuPinyin"
靉,靉,U+9749,ài yǐ,ai yi,ài,"64084.060:ài,yǐ","cloudy sky; dark, obscure","kMandarin,kHanyuPinyin"
