char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
叶,叶,U+53F6,yè xié,ye xie,yè,"10568.020:xié,yè","to harmonize, to rhyme; to unite; (borrowed for) leaf","kMandarin,kHanyuPinyin"
号,号,U+53F7,hào háo xiāo,hao xiao,hào,"10570.010:háo,hào,xiāo","mark, sign; symbol; number","kMandarin,kHanyuPinyin"
司,司,U+53F8,sī cí sì,si ci,sī,"10572.080:sī,cí,sì","take charge of, control, manage; officer","kMandarin,kHanyuPinyin"
叹,叹,U+53F9,tàn yǐ yòu,tan yi you,tàn,"10575.040:yǐ,yòu,tàn","sigh, admire","kMandarin,kHanyuPinyin"
叻,叻,U+53FB,lè lì,le li,lè,"10575.010:lè,lì","used in place names; (Cant.) smart, clever","kMandarin,kHanyuPinyin"
叽,叽,U+53FD,jī jiào,ji jiao,jī,"10572.030,10572.040:jiào",sigh in disapproval; take small,"kMandarin,kHanyuPinyin"
吁,吁,U+5401,xū yù,xu yu,xū,"10575.070:xū,yù",interjection 'Alas!'; to sigh,"kMandarin,kHanyuPinyin"
吃,吃,U+5403,chī qī,chi qi,chī,"10579.050:chī,qī","eat; drink; suffer, endure, bear","kMandarin,kHanyuPinyin"
吅,吅,U+5405,xuān sòng,xuan song,xuān,"10577.110:xuān,sòng",,"kMandarin,kHanyuPinyin"
吇,吇,U+5407,zǐ jí,zi ji,zǐ,"10584.060:zǐ,jí",,"kMandarin,kHanyuPinyin"
合,合,U+5408,hé gě,he ge,hé,"10581.010:hé,gě","combine, unite, join; gather","kMandarin,kHanyuPinyin"
吋,吋,U+540B,cùn dòu,cun dou,cùn,"10577.030:dòu,cùn",English inch (寸 can be either an English or Chinese inch),"kMandarin,kHanyuPinyin"
吓,吓,U+5413,xià hà,xia ha,xià,"10577.020:hà,xià","scare, frighten; intimidate","kMandarin,kHanyuPinyin"
吖,吖,U+5416,ā yā,a ya,ā,"10584.020:yā,ā",used in translation; (Cant.) final particle,"kMandarin,kHanyuPinyin"
吚,吚,U+541A,yī xī,yi xi,yī,"10595.050:xī,yī",used to represent sound,"kMandarin,kHanyuPinyin"
吞,吞,U+541E,tūn tiān,tun tian,tūn,"10585.040:tūn,tiān","swallow; absorb, annex, engulf","kMandarin,kHanyuPinyin"
吟,吟,U+541F,yín yǐn jìn,yin jin,yín,"10591.100:yín,yǐn,jìn","sing, hum; recite; type of poetry","kMandarin,kHanyuPinyin"
吤,吤,U+5424,jiè gè xiè,jie ge xie,jiè,"10591.070:jiè,gè,xiè",,"kMandarin,kHanyuPinyin"
吥,吥,U+5425,bù pōu,bu pou,bù,"10586.040:pōu,bù","a swelling; spongy, flabby","kMandarin,kHanyuPinyin"
否,否,U+5426,fǒu pǐ,fou pi,fǒu,"10586.050:fǒu,pǐ","not, no, negative; final particle; hexagram ䷋","kMandarin,kHanyuPinyin"
吧,吧,U+5427,ba bā pā,ba pa,ba,"10596.060:bā,ba,pā",emphatic final particle,"kMandarin,kHanyuPinyin"
吨,吨,U+5428,dūn tún tǔn,dun tun,dūn,"10588.010:tún,tǔn,dūn","metric ton; (Cant.) to babble, gibberish","kMandarin,kHanyuPinyin"
吩,吩,U+5429,fēn pèn,fen pen,fēn,"10592.030:pèn,fēn","order, command, instruct","kMandarin,kHanyuPinyin"
吪,吪,U+542A,é huā,e hua,é,"10590.050:é,huā",move,"kMandarin,kHanyuPinyin"
听,听,U+542C,tīng yǐn yí,ting yin yi,tīng,"10591.020:yǐn,yí,tīng","hear; understand; obey, comply","kMandarin,kHanyuPinyin"
吭,吭,U+542D,kēng háng hàng,keng hang,kēng,"10594.050:háng,hàng,kēng",throat,"kMandarin,kHanyuPinyin"
吱,吱,U+5431,zhī zī qì,zhi zi qi,zhī,"10586.020:zhī,zī,qì","chirping, squeaking, hissing","kMandarin,kHanyuPinyin"
吲,吲,U+5432,yǐn shěn,yin shen,yǐn,"10596.040:shěn,yǐn",smile at; sneer at,"kMandarin,kHanyuPinyin"
吴,吳,U+5433,wú yú,wu yu,wú,"10595.080:wú,yú",one of warring states; surname,"kMandarin,kHanyuPinyin"
吴,吴,U+5434,wú tūn,wu tun,wú,"10585.030:wú,tūn",name of warring state; surname,"kMandarin,kHanyuPinyin"
吵,吵,U+5435,chǎo miǎo chāo chào,chao miao,chǎo,"10588.080:miǎo,chǎo,chāo,chào","argue, dispute; disturb, annoy","kMandarin,kHanyuPinyin"
吷,吷,U+5437,xuè chuò jué,xue chuo jue,xuè,"10596.010:xuè,chuò,jué",a soft sound made by blowing through the mouth,"kMandarin,kHanyuPinyin"
吺,吺,U+543A,dōu rú,dou ru,dōu,"10593.060:dōu,rú",,"kMandarin,kHanyuPinyin"
吽,吽,U+543D,hōng ōu hǒu,hong ou hou,hōng,"10589.060:ōu,hōng,hǒu","'OM'; bellow; (Cant.) dull, stupid","kMandarin,kHanyuPinyin"
吾,吾,U+543E,wú yú yá,wu yu ya,wú,"10585.130:wú,yú,yá","i, my, our; resist, impede","kMandarin,kHanyuPinyin"
呀,呀,U+5440,ya xiā yā,ya xia,ya,"10587.120:xiā,yā,ya",particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,"kMandarin,kHanyuPinyin"
呃,呃,U+5443,è ài e,e ai,è,"10587.110:ài,è,e",belch; hiccup,"kMandarin,kHanyuPinyin"
呅,呅,U+5445,méi wěn,mei wen,méi,"10594.030:méi,wěn",(Cant.) a dollar,"kMandarin,kHanyuPinyin"
呆,呆,U+5446,dāi bǎo ái,dai bao ai,dāi,"10585.110:bǎo,dāi,ái","dull; dull-minded, simple, stupid","kMandarin,kHanyuPinyin"
呇,呇,U+5447,mèn qǐ,men qi,mèn qǐ,10589.010:qǐ,star,"kMandarin,kHanyuPinyin"
呈,呈,U+5448,chéng kuáng chěng,cheng kuang,chéng,"10585.010:kuáng 10589.110:chéng,chěng","submit, show; appear; petition","kMandarin,kHanyuPinyin"
告,告,U+544A,gào jū gù,gao ju gu,gào,"10589.120:gào,jū,gù","tell, announce, inform; accuse","kMandarin,kHanyuPinyin"
呐,呐,U+5450,nà nè na nuò,na ne nuo,nà,"10588.140:nè,nà,na,nuò","raise voice, yell out loud, shout; stammer","kMandarin,kHanyuPinyin"
呔,呔,U+5454,dāi tǎi,dai tai,dāi,"10587.030:dāi,tǎi","(Cant.) a necktie, a tire","kMandarin,kHanyuPinyin"
呡,呡,U+5461,wěn mǐn,wen min,wěn,"10609.060:wěn,mǐn",the corners of the mouth the lips,"kMandarin,kHanyuPinyin"
呢,呢,U+5462,ne ní nǐ nī,ne ni,ne,"10609.030:ní,nǐ,nī,ne",interrogative or emphatic final; (Cant.) this,"kMandarin,kHanyuPinyin"
呣,呣,U+5463,ḿ móu m̀,m mou,ḿ,"10610.080:móu,ḿ,m̀",interjection indicating a question or thought (um),"kMandarin,kHanyuPinyin"
呫,呫,U+546B,tiè chè,tie che,tiè,"10599.150:tiè,chè","whisper; lick, taste; petty","kMandarin,kHanyuPinyin"
呬,呬,U+546C,xì chì,xi chi,xì,"10601.060:xì,chì",to rest,"kMandarin,kHanyuPinyin"
呮,呮,U+546E,qì zhī,qi zhi,qì,"10601.020:qì,zhī","to sit; (Cant.) only, merely; a final particle of intimacy","kMandarin,kHanyuPinyin"
呰,呰,U+5470,zǐ cī jī xì,zi ci ji xi,zǐ,"10614.080:zǐ,cī,jī,xì","to slander, revile","kMandarin,kHanyuPinyin"
呱,呱,U+5471,gū guā guǎ,gu gua,gū,"10604.100:gū,guā,guǎ","wail, crying of child; swear at","kMandarin,kHanyuPinyin"
呲,呲,U+5472,cī cí zī,ci zi,cī,"10614.070:cí,zī,cī",give a talking-to,"kMandarin,kHanyuPinyin"
味,味,U+5473,wèi mèi,wei mei,wèi,"10597.060:wèi,mèi","taste, smell, odor; delicacy","kMandarin,kHanyuPinyin"
呴,呴,U+5474,xǔ hǒu hōu gòu gōu gū,xu hou gou gu,xǔ,"10607.020:xǔ,hǒu,hōu,gòu,gōu,gū",breathe on; yawn; roar,"kMandarin,kHanyuPinyin"
呵,呵,U+5475,hē hā ā a kē huō,he ha a ke huo,hē,"10598.100:hē,hā,ā,a,kē,huō",scold; laughing sound; yawn,"kMandarin,kHanyuPinyin"
呶,呶,U+5476,náo ná nǔ,nao na nu,náo,"10610.030:náo,ná,nǔ",talkative; clamour; hubbub,"kMandarin,kHanyuPinyin"
呷,呷,U+5477,xiā xiá gā jiǎ,xia ga jia,xiā xiá,"10600.020:xiā,gā,jiǎ","suck, swallow, drink","kMandarin,kHanyuPinyin"
呹,呹,U+5479,yì chì,yi chi,yì,"10601.080:yì,chì",(of animals) to eat grass,"kMandarin,kHanyuPinyin"
